# nietzsche — quotations from Friedrich Nietzsche (1844–1900).
#
# Tab-separated, two columns: quote<TAB>source.
#
# Same contract as lib/ukhaan.tsv: the table is the source of truth and the
# `nietzsche` CLI (modules/home-manager/tools/nietzsche.nix) is only a reader.
# TSV rather than .nix so a second consumer (neovim, waybar, a script) can read
# it with a plain split on a tab. Lines beginning with '#' are comments.
#
# Translations are the standard public-domain / Kaufmann-Hollingdale renderings,
# lightly normalised; the source column names the work and, where it is certain,
# the section. Quotes whose attribution could not be traced to a work were left
# out on purpose — the internet's Nietzsche is half apocryphal.
#
# Latin script throughout, so this one is safe on every terminal surface.
One must still have chaos in oneself to be able to give birth to a dancing star.	Thus Spoke Zarathustra, Prologue
Man is a rope, tied between beast and overman — a rope over an abyss.	Thus Spoke Zarathustra, Prologue
What is great in man is that he is a bridge and not an end.	Thus Spoke Zarathustra, Prologue
I love those who do not know how to live except by going under, for they are those who cross over.	Thus Spoke Zarathustra, Prologue
Man is something that shall be overcome.	Thus Spoke Zarathustra, Prologue
One must be a sea to receive a polluted stream without becoming impure.	Thus Spoke Zarathustra, Prologue
Companions the creator seeks, not corpses, not herds and believers.	Thus Spoke Zarathustra, Prologue
There is more reason in your body than in your best wisdom.	Thus Spoke Zarathustra, On the Despisers of the Body
Behind your thoughts and feelings stands a mighty commander, an unknown sage — he is called self. He lives in your body; he is your body.	Thus Spoke Zarathustra, On the Despisers of the Body
Of all that is written, I love only what a man has written with his own blood.	Thus Spoke Zarathustra, On Reading and Writing
Whoever writes in blood and aphorisms does not want to be read but to be learned by heart.	Thus Spoke Zarathustra, On Reading and Writing
I would believe only in a god who could dance.	Thus Spoke Zarathustra, On Reading and Writing
Not by wrath does one kill, but by laughter.	Thus Spoke Zarathustra, On Reading and Writing
He who climbs upon the highest mountains laughs at all tragedies, real or imaginary.	Thus Spoke Zarathustra, On Reading and Writing
In the mountains the shortest way is from peak to peak, but for that you must have long legs.	Thus Spoke Zarathustra, On Reading and Writing
You look up when you want to be exalted. I look down, because I am exalted.	Thus Spoke Zarathustra, On Reading and Writing
The state is the coldest of all cold monsters.	Thus Spoke Zarathustra, On the New Idol
Everything about the state is false; it bites with stolen teeth.	Thus Spoke Zarathustra, On the New Idol
Where the state ends, there begins the human being who is not superfluous.	Thus Spoke Zarathustra, On the New Idol
Distrust all in whom the impulse to punish is powerful.	Thus Spoke Zarathustra, On the Tarantulas
One repays a teacher badly if one remains only a pupil.	Thus Spoke Zarathustra, On the Bestowing Virtue
Physician, heal yourself: then you will heal your patient too.	Thus Spoke Zarathustra, On the Bestowing Virtue
Whoever cannot obey himself will be commanded.	Thus Spoke Zarathustra, On Self-Overcoming
Life is that which must always overcome itself.	Thus Spoke Zarathustra, On Self-Overcoming
Where I found the living, there I found will to power.	Thus Spoke Zarathustra, On Self-Overcoming
He who would learn to fly one day must first learn to stand and walk and run and climb and dance.	Thus Spoke Zarathustra, On the Spirit of Gravity
This is my way; where is yours? For the way — that does not exist.	Thus Spoke Zarathustra, On the Spirit of Gravity
One must learn to love oneself with a wholesome and healthy love.	Thus Spoke Zarathustra, On the Spirit of Gravity
Courage is the best slayer: courage slays even death itself.	Thus Spoke Zarathustra, On the Vision and the Riddle
Was that life? Well then! Once more!	Thus Spoke Zarathustra, On the Vision and the Riddle
Man is the cruelest animal.	Thus Spoke Zarathustra, The Convalescent
Only where there are graves are there resurrections.	Thus Spoke Zarathustra, The Tomb Song
It is the stillest words that bring on the storm. Thoughts that come on doves' feet guide the world.	Thus Spoke Zarathustra, The Stillest Hour
You must be ready to burn yourself in your own flame: how could you become new if you had not first become ashes?	Thus Spoke Zarathustra, On the Way of the Creator
War and courage have done more great things than love of the neighbour.	Thus Spoke Zarathustra, On War and Warriors
You should have eyes that always seek an enemy — your enemy.	Thus Spoke Zarathustra, On War and Warriors
Marriage: I call it the will of two to create the one that is more than those who created it.	Thus Spoke Zarathustra, On Child and Marriage
Have you ever said Yes to a single joy? Then you said Yes to all woe as well. All things are entangled, ensnared, enamoured.	Thus Spoke Zarathustra, The Drunken Song
Sleep is no mean art: for its sake one must stay awake all day.	Thus Spoke Zarathustra, On the Teachers of Virtue
Not when truth is dirty, but when it is shallow, does the lover of knowledge dislike to step into its waters.	Thus Spoke Zarathustra, On the Famous Wise Men
The earth has a skin, and that skin has diseases; one of them is called man.	Thus Spoke Zarathustra, On Great Events
The true man wants two things: danger and play.	Thus Spoke Zarathustra, On Little Old and Young Women
All truths that are kept silent become poisonous.	Thus Spoke Zarathustra
There is always some madness in love. But there is also always some reason in madness.	Thus Spoke Zarathustra
He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into an abyss, the abyss also gazes into you.	Beyond Good and Evil, §146
There are no moral phenomena at all, only a moral interpretation of phenomena.	Beyond Good and Evil, §108
Insanity in individuals is something rare — but in groups, parties, nations and epochs it is the rule.	Beyond Good and Evil, §156
The thought of suicide is a great consolation: with it one gets through many a bad night.	Beyond Good and Evil, §157
What is done out of love always takes place beyond good and evil.	Beyond Good and Evil, §153
Every profound spirit needs a mask.	Beyond Good and Evil, §40
Every deep thinker is more afraid of being understood than of being misunderstood.	Beyond Good and Evil, §290
Blessed are the forgetful, for they get the better even of their blunders.	Beyond Good and Evil, §217
Talking much about oneself can also be a means of concealing oneself.	Beyond Good and Evil, §169
Success has always been the greatest liar.	Beyond Good and Evil, §269
The great epochs of our life come when we gain the courage to rechristen our evil as what is best in us.	Beyond Good and Evil, §116
Ultimately it is our desires we love, and not the desired object.	Beyond Good and Evil, §175
Fear is the mother of morality.	Beyond Good and Evil, §201
Objection, evasion, joyous distrust and love of irony are signs of health; everything absolute belongs to pathology.	Beyond Good and Evil, §154
The Christian faith from the beginning is sacrifice: the sacrifice of all freedom, all pride, all self-confidence of the spirit.	Beyond Good and Evil, §46
Christianity gave Eros poison to drink; he did not die of it, but degenerated into vice.	Beyond Good and Evil, §168
He who despises himself still respects himself as one who despises.	Beyond Good and Evil, §78
Is life not a thousand times too short for us to bore ourselves?	Beyond Good and Evil, §227
The abdomen is the reason why man does not easily take himself for a god.	Beyond Good and Evil, §141
In revenge and in love woman is more barbarous than man.	Beyond Good and Evil, §139
A people is a detour of nature to get to six or seven great men.	Beyond Good and Evil, §126
It is not a lack of love, but a lack of friendship, that makes unhappy marriages.	Beyond Good and Evil
God is dead. God remains dead. And we have killed him.	The Gay Science, §125
Live dangerously! Build your cities on the slopes of Vesuvius!	The Gay Science, §283
What if a demon crept after you one day into your loneliest loneliness and said: this life you now live you will have to live once more and innumerable times more?	The Gay Science, §341
Amor fati: let that be my love from now on. I want to learn more and more to see as beautiful what is necessary in things.	The Gay Science, §276
What is the seal of attained freedom? No longer being ashamed in front of oneself.	The Gay Science, §275
Morality is herd instinct in the individual.	The Gay Science, §116
Mystical explanations are considered deep. The truth is that they are not even superficial.	The Gay Science, §126
Thoughts are the shadows of our feelings — always darker, emptier, simpler.	The Gay Science, §179
Whoever knows he is deep strives for clarity; whoever wants to seem deep to the crowd strives for obscurity.	The Gay Science, §173
The Christian resolve to find the world ugly and bad has made the world ugly and bad.	The Gay Science, §130
The most perfidious way of harming a cause is to defend it deliberately with faulty arguments.	The Gay Science, §191
Egoism is the law of perspective applied to feelings.	The Gay Science, §162
Become who you are.	The Gay Science, §270
What does not kill me makes me stronger.	Twilight of the Idols, Maxims and Arrows §8
If we have our own why in life, we shall get along with almost any how.	Twilight of the Idols, Maxims and Arrows §12
Without music life would be a mistake.	Twilight of the Idols, Maxims and Arrows §33
All truly great thoughts are conceived while walking.	Twilight of the Idols, Maxims and Arrows §34
The formula of my happiness: a Yes, a No, a straight line, a goal.	Twilight of the Idols, Maxims and Arrows §44
Even the bravest of us rarely has the courage for what he really knows.	Twilight of the Idols, Maxims and Arrows §2
To live alone one must be an animal or a god, says Aristotle. There is a third case: one must be both — a philosopher.	Twilight of the Idols, Maxims and Arrows §3
Which is it: is man one of God's blunders, or is God one of man's?	Twilight of the Idols, Maxims and Arrows §7
Help yourself: then everyone will help you.	Twilight of the Idols, Maxims and Arrows §9
The bite of conscience, like the bite of a dog into a stone, is a stupidity.	Twilight of the Idols, Maxims and Arrows §10
Freedom is the will to be responsible to ourselves.	Twilight of the Idols, Skirmishes of an Untimely Man §38
One should die proudly when it is no longer possible to live proudly.	Twilight of the Idols, Skirmishes of an Untimely Man §36
Judgments about life, for or against, can in the last resort never be true.	Twilight of the Idols, The Problem of Socrates §2
The individual human being is a piece of fate.	Twilight of the Idols, Morality as Anti-Nature §6
One is fruitful only at the cost of being rich in contradictions.	Twilight of the Idols
What is good? All that heightens the feeling of power in man. What is bad? All that proceeds from weakness.	The Antichrist, §2
