# ukhaan — Nepali proverbs (उखान टुक्का).
#
# Tab-separated, three columns: devanagari<TAB>roman<TAB>meaning.
#
# TSV rather than .nix because two languages read this file: the `ukhaan` CLI
# (modules/home-manager/tools/ukhaan.nix) embeds it for awk, and the Neovim
# dashboard (nvim/plugin/dashboard.lua) reads it directly at first paint. A
# .nix list would need a second, generated Lua copy; splitting on a tab needs
# neither. Lines beginning with '#' are comments.
#
# Source: github.com/chapainaashish/nepali-ukhaan (MIT, (c) 2023 Aashish
# Chapain), parsed from that repo's README table. Corrections belong upstream
# as well as here.
#
# The roman column is what terminal surfaces show, per the script rule in
# docs/THEME.md; the devanagari column is for waybar/notifications.
अंग्रेजीको काइदा, भुक्नेलाई फाइदा	Angreji ko kaida, bhukne lai faida	Those who are clever can benefit from any situation
अकटको कुलो, बिकटको खेत, बिर्सेछु दाजै शिलोकको फेद	Akat ko kulo, bikat ko khet, birsechhu daajai silok ko fed	People often forget the help & advice provided by others but remember the benefits they received
अकबर राजा, बिरबल काजि, इन्साफ दिन्छन खुसिराजि	Akabar raaja, birbal kaaji, insaaf dinchhan khusiraaji	Justice is served by both the powerful and the wise
अकबरी सुनलाई कसी लाउनु पर्दैन	Akabari sun lai kasi laaunu pardaina	Ramro manche yesai ramro
अक्चु खाए बक्छु खाए झुसे बारुलो	Akchhu khaaye bakchhu khaaye jhuse baarulo	Someone who has faced stronger challenges is not easily defeated by weaker ones
अगुल्टोले हानेको कुकुर बिजुलीदेखि तर्सन्छ	Agulto le haaneko kukur bijuli dekhi tarsanchha	Ek choti galti garisakepaxi aarko choti garna bata tarsinxa
अघि हेर्नु चार हात, पछि हेर्नु बाह्र हात	Aghi hernu chaar haat, pachhi hernu bahra haat	Agadi ra pachadi dubai tira khyal puraunu
अघिको तीतो पछिको मीठो	Aghi ko tito pachhi ko mitho	Mehanat le fal mitho hunxa
अचानो को पिर खुकुरी ले जान्दैन	Achaano ko pir khukuri le jaandaina	Dhukha dina manxe le dukha paune manxe ko samsya bujdiaena
अचार खानु मुलाको, संगत गर्नु ठुलाको	Achaar khaanu mula ko, sangat garnu thula ko	Asal manxe ko sangat gare khushi paixa nabye dukha
अच्छा साले जुल्फी पाले, लिखाले टांग हाले	Achchhaa saale julfi paale, likhaa le taang haale	Strong foundation, bright outcome. Weak base, poor fate
अजिङ्गरको आहारा दैवले जुराउँछ	Ajingar ko aahaaraa daiba le jurauchha	Yedi kei kura vagya ma chha vane paincha
अड्को पड्को तेलको धूप	Adko padko tel ko dhup	The nature of certain things, which briefly sparkle and then vanish
अदुवा खाई सभामा बस, मुला खाई बन पस	Aduwaa khaayi sabhaa maa basa, mulaa khaayi bana pasa	Choosing words and actions wisely to fit the context
अनिकालको तोरी, सहकालको जौं	Anikaal ko tori, sahakaal ko jau	Doing things at the opportune moment
अनिकालको मानु, दिनु न खानु	Anikaal ko maanu, dinu na khaanu	aafulai dukha pareko bela arulai sahayog garnu ki nagarnu
अनिकालमा लाईफ जोगाउनु, आन्दोलनमा बाईक जोगाउनु	Anikaal maa life jogaunu, andolan maa bike jogaunu	Recognizing what matters most in a given context
अनिकाले मानू, बाँडिचूडी खानू	Anikaale maanu, badi chudi khaanu	To take advantage of whatever comes your way, even if it's not ideal or appropriate
अनुहार न दनुवार पोइ खोज्न थाली	Anuhaar na danuwaar poi khojna thaali	Looking for something new rather than being content
अनुहार न दनुवार, पाण्‍डव सुनुवार	Anuhaar na danuhaar, pandab sunuwar	Chyamata bina furti lagunu
अन्धाको देशमा आँखा छोप्नु, लङ्‍गडाको देशमा खुट्‍टा खोच्याउनु	Andhaa ko desh maa aankhaa chhopnu, langadaa ko desh maa khuttaa khochchyaunu	Adapting to fit in with the prevailing environment and customs
अन्धाको सहारा लङ्गडा	Andhaa ko saahaaraa langadaa	Attempting something that is inherently ineffective or counterproductive
अन्धाको हातमा टुकी	Andha ko hat ma tuki	Empowering someone blindly without care for the hazardous potential consequences
अन्धोलाई ऐनाको खोजि	Andho lai ainaa ko khoji	Na chaie kura ma chaso bhegta garnu
अन्नमा भन्दा सन्नमा जोड	Anna ma bhanda Sanna ma jod	Kind words are valued over mere food/provisions
अन्यायको धन, कहिल्यै मेरो नभन	Anyaaye ko dhan, kahilei mero nabhan	Wealth accumulated through injustice should never be considered as rightfully one's own
अभागी मोरो हग्न बस्यो, बाह्र हातको घोँचो पस्यो	Abhaagi moro hagna basyo, bahra haat ko ghocho pasyo	Misfortune befalls the unlucky at every turn, even when they try to avoid it
अभागीको भाई सप्रन्छ, भाग्यमानीको छोरो सप्रन्छ	Abhaagi ko bhai sapranchha, bhaagyamaani ko chhoro sapranchha	No one can escape their destiny
अराएको काम र भराएको मानोले कति दिन चल्छ	Araayeko kaam ra bharaayeko maano le kati din chalchha	Makeshift solutions and temporary measures can only last for so long
अरुको बारिको काँक्रो चोर्नी, आफ्नो भने नुनको ढिको नफोर्नी	Aru ko bari ko kakro chorne, aafno bhane nun ko dhiko naforni	It is easy to find faults in others while ignoring one's own shortcomings
अरुको लाख आमाको काख	Aru ko lakh aama ko kakh	Nothing is comparable with mother's love
अरूले हात्ती चढे भनेर आफूले धुरी चढ्नु हुँदैन	Aru le hatti chade bhanera aafu le dhuri chadnu hudaina	One should not imitate others' mistakes, but learn from them instead
अर्काको आङ्गको जुम्रा देख्‍ने, आफ्‍नो आङ्गको भैसी पनि नदेख्‍ने	Arka ko aang ko jumra dekhne, aafno aang ko bhaisi pani nadekhne	It is easy to point others fault but don't realize his own faults
अर्काको गहना लगाउनु, नाक कान दुखाउनु	Arka ko gahana lagaunu, naak kaan dukhaunu	Envy over others' possessions is a cause of distress
अर्काको नासो गलपासो	Arkaa ko naaso galpaaso	aruko saman bigrina sakxa
अर्काको बाच्छो चाटी मुखभरी रौँ	Arka ko bachchho chaati mukh bhari rau	Speaking ill of others to impress is insincere flattery
अर्काको बारीमा साग छ, मुटु मिचेर के लाग्छ	Arkaa ko baari maa saag chha, mutu michera k laagchha	There is no gain in envying others' prosperity and good fortune
अर्काको बुद्धिले राजा हुनुभन्दा आफ्नै बुद्धिले जोगी हुनु बेस	Arka ko buddhi le raja hunu bhanda afnai buddhi le jogi junu besh	Aru ko muni basera thulo manxe hunu bhanda aafnaie malik aafaie bayera sano kaam garna jati hunxa
अर्काको भर भोकभोकै मर	Arkaa ko bhar bhok bhokai mar	Relying solely on others leads to ruin
अर्तीको कुरा घर्तीको पनि लिनुपर्छ	Arti ko kura gharti ko pani linuparchha	One should consider advice from outsiders as well as insiders
अर्थ न बर्थ गोविन्द गाई	Artha na bartha gobinda gai	A useless person
अलिनु पनि नखाऊँ, नूनढिकी पनि नफोरौँ	Alinu pani nakhau, nundhiki pani naforau	One should avoid both excess and deficiency
अल्छीलाई बल्छी, मर्दलाई जाल	Alchhi lai balchhi, marda lai jaal	The use of flattery to exploit different targets
अल्छीले जति जैसीले जान्दैन	Alchi le jati jaisi le jaandaina	A person can know more about specific thing than a general educated person
अल्छे तिघ्रो, स्वादे जिब्रो	Alchhe tighro, swade jibro	Kaam garni jagar chaina khana mitho mitho khojni
असारमा आली लगाए पो मंसिरमा बाली खान पाइन्छ	Asaar maa aali lagaaye po mangshi maa baali khaana paayinchha	One reaps the rewards of hard work in due time
असारमा मीत लाए हिलामा हात, मंसिरमा मीत लाए फिलामा हात	Asar ma mit laaye hila ma haat, mangsir ma mit laaye fila ma haat	The rewards of labor vary according to the season
असारमा सुरुवाल लगाउनेले मंसिरमा पराल चोर्छ	Asaar ma suruwal laguane le mangsir ma paral chorchha	Early and consistent hard work pays off in the long run
अहंकारी भ्यागुताको ट्वार ट्वारै ठूलो	Ahankari bhyaguto ko twar twar nai thulo	The conceited think their own faults are small
अँध्यारो काम खोला को गीत	Andhyaro kaam khola ko geet	Work done without proper planning is bound to fail
आँ गर्दा अलङ्‍कार बुझ्ने	Aa gardaa alangkaar bujhne	Jati bhaneko cha tyo bhanda badi bujhne
आँखा नदेख्‍ने नेत्रलाल, कान नसुन्‍ने कर्णकान्त	Aankha nadekhne netralaal kana nasunne karnakaanta	People who are unable or unwilling to perceive reality despite having the ability
आँटी छोरीलाई बाघले नि खाँदैन	Aanti chhori lai baagh le ni khaadaina	Close bond between family members
आँटेको काम झट्टै श्री गणेश	Aateko kaam jhattai shree ganesh	Tasks done with care and attention get done quickly and smoothly
आइमाई को रुपै सत्रु, रुपै मित्रु	Ayimaayi ko rupai satru, rupai mitru	True friends accept one as they are are are, for who they are
आइमाईको पेटमा कुरा पच्दैन	Aayimai ko pet maa kura pachhdaina	A Person who can't keep secrets
आई बूढी मच्चिंदै, गई बूढी थच्चिंदै	Aaayi budi machchidai, gayi budi thachchidai	Come in like a lion, go out like a lamb
आई लाग्ने माथि जाई लाग्नु	Aayi laagne maathi jaayi laagne	Biting off more than you can chew
आउँछ समय पर्खंदैन, बग्छ खोलो फर्कंदैन	Aauchha samaye parkhadaina, bagchha khola farkadaina	Opportunity and flowing river wait for no one, be careful you don't miss out
आए आँप गए झटारो	Aaye aanp gaye jhataaro	Try everything and explore all the ways if you have nothing to loose
आए बाउको गए साहुको	Aaye bau ko gaye saahu ko	Taking a chance
आकाश को राहु, पातलको केतु, एक पटक नपरी कसरी चेतु	Akash ko rahu, paataal ko ketu, ek patak napari kasari chetu?	If you don't experience it once, how will you know (or feel fear)
आकाशको फल आँखा तरी मर्	Aakas ko fal, aankha tari mar	Aafu le napaune khaie na paune kura laie herera santhustha garni
